Fecha,Nombre_modelo,Demanda_Unidades,Precio_Unitario
2024-01-31,Queso,3,17.23
2024-02-01,Chorizo Criollo,4,11.25
2024-02-01,Lomo de Res,6,28.56
2024-02-02,Lomo de Res,5,28.56
2024-02-02,Queso,7,18.23
2024-02-03,Chorizo Criollo,5,11.25
2024-02-03,Costilla de Cerdo,5,14.25
2024-02-03,Lomo de Res,4,28.56
2024-02-05,Queso,6,19.23
2024-02-06,Leche,3,12.24
2024-02-06,Queso,3,17.23
2024-02-06,Salchicha,4,11.23
2024-02-07,Chorizo Criollo,6,11.25
2024-02-07,Lomo de Res,3,28.56
2024-02-07,Queso,2,17.23
2024-02-09,Leche,6,12.24
2024-02-09,Lomo de Res,5,28.56
2024-02-09,Salchicha,4,11.23
2024-02-10,Costilla de Cerdo,3,14.25
2024-02-11,Queso,3,17.23
2024-02-11,Salchicha,1,11.23
2024-02-12,Queso,4,19.23
2024-02-13,Leche,3,12.24
2024-02-13,Salchicha,4,11.23
2024-02-14,Leche,1,12.24
2024-02-14,Queso,6,19.23
2024-02-15,Chorizo Criollo,5,11.25
2024-02-15,Leche,1,12.24
2024-02-15,Queso,2,19.23
2024-02-16,Chorizo Criollo,2,11.25
2024-02-16,Queso,3,17.23
2024-02-17,Chorizo Criollo,4,11.25
2024-02-17,Queso,4,17.23
2024-02-18,Chorizo Criollo,2,11.25
2024-02-18,Salchicha,6,11.23
2024-02-19,Chorizo Criollo,3,11.25
2024-02-19,Pierna Especial de Pollo,1,18.56
2024-02-19,Salchicha,2,11.23
2024-02-20,Salchicha,8,11.229999999999999
2024-02-21,Chorizo Criollo,4,11.25
2024-02-21,Pierna Especial de Pollo,3,18.56
2024-02-22,Leche,2,12.24
2024-02-22,Pierna Especial de Pollo,4,18.56
2024-02-23,Costilla de Cerdo,4,14.25
2024-02-23,Queso,7,19.23
2024-02-24,Chorizo Criollo,6,11.25
2024-02-24,Leche,4,12.24
2024-02-24,Queso,5,17.23
2024-02-24,Salchicha,1,11.23
2024-02-25,Costilla de Cerdo,1,14.25
2024-02-25,Leche,6,12.24
2024-02-25,Pierna Especial de Pollo,4,18.56
2024-02-26,Queso,4,17.23
2024-02-28,Costilla de Cerdo,2,14.25
2024-02-28,Lomo de Res,6,28.56
2024-02-29,Chorizo Criollo,2,11.25
2024-02-29,Queso,5,19.23
2024-03-03,Leche,2,12.24
2024-03-04,Costilla de Cerdo,6,14.25
2024-03-04,Leche,3,12.24
2024-03-04,Salchicha,5,11.23
2024-03-06,Chorizo Criollo,1,11.25
2024-03-07,Chorizo Criollo,3,11.25
2024-03-07,Queso,9,18.563333333333333
2024-03-09,Pierna Especial de Pollo,6,18.56
2024-03-10,Pierna Especial de Pollo,6,18.56
2024-03-10,Salchicha,5,11.23
2024-03-11,Pierna Especial de Pollo,2,18.56
2024-03-11,Salchicha,3,11.23
2024-03-12,Lomo de Res,6,28.56
2024-03-12,Pierna Especial de Pollo,2,18.56
2024-03-12,Queso,6,17.23
2024-03-12,Salchicha,5,11.23
2024-03-13,Costilla de Cerdo,1,14.25
2024-03-13,Leche,3,12.24
2024-03-13,Lomo de Res,5,28.56
2024-03-13,Queso,11,17.23
2024-03-13,Salchicha,5,11.23
2024-03-14,Chorizo Criollo,3,11.25
2024-03-14,Costilla de Cerdo,5,14.25
2024-03-14,Leche,9,12.24
2024-03-14,Pierna Especial de Pollo,5,18.56
2024-03-15,Chorizo Criollo,6,11.25
2024-03-15,Queso,7,17.23
2024-03-15,Salchicha,4,11.23
2024-03-16,Chorizo Criollo,5,11.25
2024-03-16,Salchicha,6,11.23
2024-03-17,Costilla de Cerdo,3,14.25
2024-03-17,Queso,6,19.23
2024-03-18,Salchicha,2,11.23
2024-03-19,Queso,2,17.23
2024-03-20,Chorizo Criollo,4,11.25
2024-03-20,Queso,2,19.23
2024-03-22,Lomo de Res,6,28.56
2024-03-22,Queso,4,17.23
2024-03-23,Leche,6,12.24
2024-03-23,Queso,7,19.23
2024-03-24,Pierna Especial de Pollo,5,18.56
2024-03-25,Queso,2,19.23
2024-03-26,Chorizo Criollo,6,11.25
2024-03-26,Lomo de Res,4,28.56
2024-03-26,Queso,5,17.23
2024-03-28,Costilla de Cerdo,4,14.25
2024-03-30,Chorizo Criollo,1,11.25
2024-03-30,Leche,7,12.24
2024-04-01,Leche,4,12.24
2024-04-02,Pierna Especial de Pollo,3,18.56
2024-04-02,Queso,6,19.23
2024-04-03,Queso,4,17.23
2024-04-04,Queso,5,17.23
2024-04-05,Queso,2,17.23
2024-04-06,Lomo de Res,3,28.56
2024-04-08,Chorizo Criollo,1,11.25
2024-04-08,Lomo de Res,1,28.56
2024-04-08,Pierna Especial de Pollo,1,18.56
