ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
2023-11-25,TOTAL,Carniceria Lupita,2.6873103107682716,-4.366720701251109,10.347148410745197
2023-11-27,TOTAL,Carniceria Lupita,2.0983188240819217,-5.51193174704597,9.894584947438199
2023-11-30,TOTAL,Carniceria Lupita,0.7396698507213113,-6.2315000270723955,8.754206238605462
2024-05-18,TOTAL,Carniceria Lupita,8.780098155126845,1.514220159974867,16.75711369114662
2024-05-19,TOTAL,Carniceria Lupita,8.875871105838174,0.6071233680432918,16.75349454585097
2024-06-03,TOTAL,Carniceria Lupita,13.562030703713292,6.405636820842945,21.553413882101953
2024-06-08,TOTAL,Carniceria Lupita,14.378773151293883,6.13102225843776,21.828088124884516
2024-06-09,TOTAL,Carniceria Lupita,14.414500671141987,6.658479608580597,21.84796608737421
2024-06-21,TOTAL,Carniceria Lupita,17.003948522100007,9.300231637311155,24.5772278162311
2024-06-24,TOTAL,Carniceria Lupita,18.871427152044447,11.866977639928152,26.919830281177813
2024-07-02,TOTAL,Carniceria Lupita,21.694389682303463,13.712242413529712,29.867164674233976
2024-07-03,TOTAL,Carniceria Lupita,21.101637758597146,13.552211563786543,28.437131988796462
2024-07-04,TOTAL,Carniceria Lupita,22.601752660293776,15.077996225667528,30.095827891672627
2024-07-07,TOTAL,Carniceria Lupita,23.37863954554734,15.97348350285313,30.66524056043931
2024-11-26,TOTAL,Carniceria Lupita,82.12869331325925,75.10845872299394,90.15916191692678
2024-11-27,TOTAL,Carniceria Lupita,80.6419122614463,73.22577207994769,88.74422828392174
2024-11-28,TOTAL,Carniceria Lupita,81.25594328263881,73.04419403282701,88.80863859946196
2024-11-29,TOTAL,Carniceria Lupita,79.8613570748894,73.44477011976917,87.56080957811871
2024-11-30,TOTAL,Carniceria Lupita,80.05915261835851,72.32727172876977,88.06410675161534
2024-12-01,TOTAL,Carniceria Lupita,79.49967204575961,71.61586807501565,87.05007047106943
2024-12-02,TOTAL,Carniceria Lupita,79.76819549917269,72.23175957917978,87.78404529609946
2024-12-03,TOTAL,Carniceria Lupita,79.4238755374877,71.72790165485003,86.9318189983657
2024-12-04,TOTAL,Carniceria Lupita,78.19002706983225,70.95783707027574,85.84034343715648
2024-12-05,TOTAL,Carniceria Lupita,79.08781687709856,71.4417202842819,86.23936138973154
2024-12-06,TOTAL,Carniceria Lupita,78.00106228203231,70.13086235743579,85.90283731087845
2024-12-07,TOTAL,Carniceria Lupita,78.52370993311108,70.85492707795242,86.10773160529568
