ProductoNombre,VentasHoy
Medio Pollo,1.1379324713289418
Posta De Gallina,3.013798707523608
Pechuga Con Ala,2.2139792365804145
Chincaca,2.4202288744221025
Huesos Corriente,2.4471407234264313
Higado De Pollo,2.2390236143210753
Posta de Pierna,2.3449101751606936
Costilla Alta,2.5156977186122624
Conito,2.364995150264189
Menudo,2.4986088542003704
Posta de Corona,2.5840305682461233
Lomo de Cerdo,2.643098094610454
Salchichon,2.3592216308044907
Crema Perfecta,2.6680978764444827
Lomo de Res,2.3525222224891977
Queso,2.264703475352259
Costilla de Cerdo,2.5865661557281383
Centrolac leche entera 472 ml,2.339612988832201
Muslo Especial,2.3605184146274487
Producto de Prueba,2.495895747768511
Pierna Especial,2.4691856448876806
Pierna Entera,2.513388466654322
Muslo,2.680240151602415
Pechuga Especial,2.641695630567068
Titiles,2.3919159456353873
Punta de Cacho,2.583708666859958
Sesina,2.6792028525201195
Posta de Cerdo,2.597686333507861
Salchicha,2.631812654403932
Mortadela,2.3925925695764945
Chorizo Criollo,2.3250771028524815
Centrolac milk whole 1000 ml ,2.4843688557594406
